WKT,name,description
"POLYGON ((106.7792605 -6.3166464, 106.7707341 -6.3584258, 106.7477315 -6.3635439, 106.7456716 -6.3932281, 106.7374318 -6.4119931, 106.7333119 -6.4239341, 106.741895 -6.4379217, 106.7808621 -6.4409921, 106.8129628 -6.4440625, 106.8167394 -6.4505444, 106.8696111 -6.4457683, 106.8965619 -6.4275163, 106.8975919 -6.4048284, 106.8976992 -6.4025467, 106.8971627 -6.4000092, 106.8930428 -6.3869587, 106.885876 -6.3846983, 106.888923 -6.3767229, 106.8836307 -6.3702181, 106.8832873 -6.3657824, 106.8788241 -6.3647588, 106.8808841 -6.3616879, 106.8719577 -6.3606643, 106.8750476 -6.3565698, 106.8712848 -6.3534355, 106.8637179 -6.3572522, 106.8623155 -6.3574021, 106.8605559 -6.3544165, 106.8561648 -6.3531576, 106.8557494 -6.3476349, 106.8499558 -6.3398295, 106.8393128 -6.3438815, 106.8389987 -6.3507691, 106.8352221 -6.3514516, 106.8365954 -6.3552049, 106.8173694 -6.3552049, 106.8115466 -6.3637145, 106.7947101 -6.3654412, 106.7923068 -6.352134, 106.7981433 -6.3449684, 106.7998736 -6.3363319, 106.8040793 -6.3257538, 106.8080996 -6.3149402, 106.7792605 -6.3166464))",Depok,
"POINT (106.7942405 -6.4024844)",Depok City,
