"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1465","11","Kabupaten Kepulauan Seribu","3101","2","-5.7985266","106.5071982","1"
"1466","11","Kota Jakarta Selatan","3174","2","-6.2633677136918635","106.82800937646296","1"
"1467","11","Kota Jakarta Timur","3175","2","-6.2223422574290765","106.89209955923555","1"
"1468","11","Kota Jakarta Pusat","3171","2","-6.200621598839374","106.82995150256798","1"
"1469","11","Kota Jakarta Barat","3173","2","-6.166349411044215","106.7566362169476","1"
"1470","11","Kota Jakarta Utara","3172","2","-6.148488377141104","106.90666550922005","1"
